model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
tft,10d,115,0.06065256494830838,COMPLETE,64.0,,,0.2386973761567871,43.0,,256.0,48.0,1.846289999483199e-05,minmax,0 days 00:05:09.525577,0.3262061953652161,2.0,,,,,,,,,,
tft,10d,116,0.056064880920263085,COMPLETE,64.0,,,0.22923395297073287,43.0,,256.0,48.0,3.403315493854211e-05,minmax,0 days 00:05:09.759402,0.3475406635413093,2.0,,,,,,,,,,
tft,10d,117,0.0635528660248768,COMPLETE,64.0,,,0.24642999495624587,42.0,,192.0,48.0,3.285949577874128e-05,minmax,0 days 00:05:02.827410,0.34864466829275065,2.0,,,,,,,,,,
tft,10d,118,0.08050724525416103,COMPLETE,64.0,,,0.27008321924502066,43.0,,32.0,48.0,3.6441932260749825e-05,minmax,0 days 00:00:52.829267,0.30762018171679545,2.0,,,,,,,,,,
tft,10d,119,0.06437922151596061,COMPLETE,64.0,,,0.25676900855629964,43.0,,384.0,48.0,1.455343046543512e-05,minmax,0 days 00:09:04.431469,0.34256564069775236,4.0,,,,,,,,,,
tft,10d,120,0.05839485475546874,COMPLETE,64.0,,,0.22820115340706632,42.0,,256.0,48.0,5.554782657289233e-05,minmax,0 days 00:05:14.647662,0.3159559277744753,2.0,,,,,,,,,,
tft,10d,121,0.05692625761316475,COMPLETE,64.0,,,0.21154765125818734,43.0,,256.0,48.0,3.271115644961112e-05,minmax,0 days 00:05:14.580018,0.29352834272786105,2.0,,,,,,,,,,
tft,10d,122,0.05633673824271253,COMPLETE,64.0,,,0.21202118291274868,43.0,,256.0,48.0,3.0784896774166335e-05,minmax,0 days 00:05:13.664793,0.36103483951458176,2.0,,,,,,,,,,
tft,10d,123,0.056076938326406305,COMPLETE,64.0,,,0.2149200947860334,43.0,,256.0,48.0,3.2001243726542496e-05,minmax,0 days 00:05:11.745511,0.35488084143946363,2.0,,,,,,,,,,
tft,10d,124,0.056409522533221394,COMPLETE,64.0,,,0.2795920329960933,42.0,,256.0,48.0,3.770967031876196e-05,minmax,0 days 00:05:11.926579,0.36232723092793767,2.0,,,,,,,,,,
